,carring_capacity,mean_biomass,median_biomass,max_biomass,min_biomass,std_biomass,mean_patch_count,mean_mean_patch_size,std_mean_patch_size,ln_num_avg_patch_int,ln_num_avg_patch_slope
32,350.0,82.03631370266565,81.27644458160995,131.044480165156,28.731032085034713,22.300893094599456,49.936,3058.687950599089,3608.763579038282,9.150204215872781,-1.0902217874214761
33,350.0,80.71334616429237,82.20786913566533,135.31455936852157,21.875712419105554,25.643288627816634,50.572,3214.904376726253,3734.560627413144,9.1542492334895,-1.0988021110194464
34,350.0,81.10933474600432,83.2294412469594,129.96680639343322,25.79694167298739,23.346191124525628,49.78,3237.3026566345675,3765.7272356174153,9.143260690102212,-1.091208212598509
35,400.0,91.79641847407309,91.4229166488451,156.32890632417732,21.94119366872757,32.702899057825604,50.666,3872.187540627011,3972.706577913983,9.156789607656545,-1.1117429525031817
36,400.0,91.46123724325552,91.37678879548318,150.378514820233,27.31651554277027,33.83337458492378,50.872,3857.497794725987,3902.878891372923,9.164907859880206,-1.1223491922530648
37,400.0,91.5515236188639,94.34825874324085,149.8919467799724,30.255092447945156,29.491283013231346,51.916,3438.003519020317,3852.8498643065755,9.154518531381374,-1.0999978735415243
38,400.0,92.90127754483169,93.40912126204353,155.37997571913328,27.394369756685897,32.41365953409858,51.946,3723.720610230645,3908.233641376857,9.164236063813878,-1.1117064656562425
39,400.0,91.17737622640156,92.84905766384236,152.49544995038812,26.64098007599886,33.44459274035402,51.91,3959.35902568065,3937.9261304218226,9.1576949779364,-1.1193615978471716
40,450.0,104.96163790404515,110.67374776094438,168.4270677401923,34.934659718917366,34.046525175997644,50.536,3868.5108131837414,4046.4287465272214,9.151134401292314,-1.1027841905897264
41,450.0,103.56130159925297,106.36533795238871,176.55196314784686,27.97656438743876,39.3219346339768,49.76,3765.083161490638,3869.583641420349,9.173867765869607,-1.120812068729028
42,450.0,101.1376618535695,102.30943158879217,166.08715182084163,38.11543137460293,28.987530281031027,52.192,3122.445867373017,3716.2959405314796,9.146245395023255,-1.0907043423438334
43,450.0,104.75454740680004,103.124020819864,164.92014260186983,35.9321165401015,29.870251776006082,48.028,3503.9879007833842,3805.803639091609,9.140955567294876,-1.08963476497705
44,450.0,104.04762567322274,107.69900362379778,170.08109164925295,37.705876322509965,37.99909335520501,50.606,3797.76866945896,3915.581071159727,9.16606142960498,-1.1147713279080966
