,growth_rate,mean_biomass,median_biomass,max_biomass,min_biomass,std_biomass,mean_patch_count,mean_mean_patch_size,std_mean_patch_size,ln_num_avg_patch_int,ln_num_avg_patch_slope
82,0.842,11.373075612885566,11.359199779835691,14.643765352885035,8.361193980357536,1.247698950589803,62.896,244.86412293071194,498.2795184372242,9.197532472033707,-1.094737159651384
83,0.842,11.280906255663442,11.296469415960317,14.675862536621489,7.444651178303761,1.3809355244550425,64.208,208.18955695712447,260.3247027485563,9.265156884485911,-1.1124236010952304
84,0.842,11.324911638981192,11.365249671128499,15.182712884792767,7.52225204603997,1.328149417410149,62.778,197.68019156256244,257.2136455928257,9.272396301821365,-1.1135121584484977
85,0.895,11.286830822565946,11.259406327010034,14.967819587659196,7.555819232390556,1.348592593934233,65.538,197.1050808242862,268.489957887937,9.24126151732127,-1.1078458974277379
86,0.895,11.35445364824705,11.377288984211114,15.152668994864982,6.458534756609496,1.3752336225866393,65.362,196.76965534349765,257.1712322516291,9.245913076613208,-1.1082964536401667
87,0.895,11.344195664740987,11.333963513718942,15.449642023560042,7.854425920965032,1.3760141118971077,65.616,218.17047617332912,447.40573443356055,9.238030289617042,-1.1065379939849622
88,0.895,11.383989118331266,11.425706602054875,14.931061984147707,7.676172194056644,1.3628920814096215,65.922,207.63158620136613,306.0589696662078,9.24739303675555,-1.1083665382758212
89,0.895,11.288986612461809,11.316624843207144,15.832837697165282,6.767490259526549,1.6973509394756907,66.476,253.65105676832013,521.0291097400601,9.253193317690048,-1.1134410206958119
90,0.947,11.332407412635026,11.232617870774998,15.421756702495436,7.493634437213201,1.527869322902755,66.886,232.29625511982064,489.62680673455094,9.22626439682313,-1.1065326383385046
91,0.947,11.43200848178675,11.48814870164918,15.600465376932105,7.086867554417847,1.6434064020965797,65.938,223.19637374978825,327.9603927050128,9.26452441671546,-1.1160143054510614
92,0.947,11.395411829613495,11.377339538729911,16.18045812688974,7.4366656070209425,1.4771253503019783,67.336,235.68979148365634,510.69901695323273,9.230237730413936,-1.106647712745255
93,0.947,11.351337375965343,11.326899958730056,15.243447976910142,7.796204015016229,1.4701792285208217,67.522,199.1207275965854,243.08444280672362,9.265324092924264,-1.1156220769306264
94,0.947,11.392504827009006,11.378480390489575,15.66318911604976,5.2398426043479125,1.6926987025559483,66.662,276.8481001212861,541.9312418497002,9.228551464668975,-1.1093356211024272
95,1.0,11.488507578036938,11.51704101018332,15.03185577502827,8.08235125465811,1.4088665983264048,68.296,191.2098836400471,226.15677129662882,9.258229497290712,-1.1138311559191372
